foodname,エネルギー(kcal),タンパク質(g),脂質(kcal),脂肪酸 飽和(g),n-6系 多価不飽和(g),n-3系 多価不飽和(g),炭水化物(g),食物繊維 総量(g),ビタミンA(μg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg)
ice_cream,315.0,6.83,126.0,8.12,0.53,0.09,40.6,0.0,101.5,0.18,0.35,5.25,0.11,0.35,0.18,0.04,0.35,0.0,0.88,0.0,0.0,192.5,332.5,245.0,22.75,210.0,0.18,0.7,0.02,0.02,0.0,0.0,0.0,0.0
spring_rolls,292.0,10.78,158.58,2.71,5.35,0.98,21.46,3.11,47.6,0.53,2.59,54.16,0.34,0.16,2.81,0.18,0.09,46.84,0.84,2.12,5.98,440.22,318.39,23.0,24.38,112.91,0.84,1.11,0.12,0.34,0.37,0.73,0.67,4.44
club_sandwich,653.0,29.0,377.1,15.49,5.92,0.97,37.9,2.8,204.0,1.1,3.4,60.0,0.27,0.35,14.0,0.39,0.8,85.0,2.3,19.7,21.0,1000.0,606.0,65.0,51.0,329.0,1.9,1.9,0.21,0.3,21.0,48.0,2.0,19.0
lasagna,290.0,10.0,144.54,6.47,2.26,0.41,24.7,1.72,111.63,0.23,1.97,15.67,0.1,0.19,1.78,0.17,0.5,19.2,0.87,5.21,4.98,1005.45,360.08,107.71,31.29,146.27,1.06,1.6,0.15,0.12,9.79,16.44,1.41,11.91
steak,437.0,18.9,293.58,15.44,1.68,0.35,11.96,1.45,296.88,0.5,1.49,21.34,0.12,0.23,4.16,0.33,1.82,26.7,1.28,1.53,13.74,949.8,550.66,22.83,31.11,178.1,1.51,5.98,0.12,0.12,0.31,0.31,2.07,6.38
crab_cakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster_bisque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry_shortcake,366.0,4.59,227.7,14.75,1.0,0.14,29.05,0.46,233.66,0.64,0.72,9.99,0.04,0.14,0.15,0.04,0.3,24.12,0.49,5.88,9.3,43.69,101.73,42.45,7.22,74.44,0.59,0.4,0.05,0.08,3.75,7.6,0.2,3.68
creme_brulee,294.0,3.55,226.62,13.98,1.18,0.16,12.13,0.0,243.6,1.05,0.82,11.8,0.05,0.13,0.02,0.03,0.53,18.95,0.7,9.27,0.15,24.54,69.81,63.0,4.86,110.55,0.83,0.7,0.04,0.01,12.5,8.63,0.45,8.72
lobster_roll_sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
